IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.65.90.219,443,443,true,FRA,Europe,Frankfurt,161,8.85
34.116.181.179,443,443,true,FRA,Europe,Frankfurt,192,8.84
34.150.180.124,443,443,true,IAD,North America,Ashburn,210,8.83
34.70.91.86,443,443,true,ORD,North America,Chicago,204,8.82
34.69.150.180,443,443,true,ORD,North America,Chicago,205,8.82
34.69.150.180,443,443,true,ORD,North America,Chicago,242,8.77
35.221.57.203,443,443,true,IAD,North America,Ashburn,227,8.71
34.70.91.86,443,443,true,ORD,North America,Chicago,206,8.71
34.65.199.119,443,443,true,FRA,Europe,Frankfurt,161,8.71
34.118.92.152,443,443,true,FRA,Europe,Frankfurt,175,8.63
34.65.93.149,443,443,true,FRA,Europe,Frankfurt,179,8.62
34.86.147.42,443,443,true,IAD,North America,Ashburn,212,8.60
34.118.69.177,443,443,true,FRA,Europe,Frankfurt,184,8.60
34.65.251.187,443,443,true,FRA,Europe,Frankfurt,170,8.56
34.65.196.224,443,443,true,FRA,Europe,Frankfurt,175,8.54
34.65.248.34,443,443,true,FRA,Europe,Frankfurt,208,8.51
34.65.152.246,443,443,true,FRA,Europe,Frankfurt,181,8.51
34.74.105.17,80,8080,false,ATL,North America,Atlanta,220,8.50
34.65.213.121,443,443,true,FRA,Europe,Frankfurt,189,8.44
34.74.105.17,80,8080,false,ATL,North America,Atlanta,218,8.42
34.116.128.120,443,443,true,FRA,Europe,Frankfurt,185,8.41
34.154.94.17,443,443,true,FRA,Europe,Frankfurt,162,8.40
34.32.232.90,443,443,true,FRA,Europe,Frankfurt,160,8.36
34.65.123.250,443,443,true,FRA,Europe,Frankfurt,161,8.34
34.154.181.50,443,443,true,FRA,Europe,Frankfurt,206,8.33
35.188.87.85,80,8080,false,ORD,North America,Chicago,204,8.32
34.118.120.196,443,443,true,AMS,Europe,Amsterdam,180,8.30
34.29.146.16,443,443,true,FRA,Europe,Frankfurt,203,8.30
34.91.71.101,443,443,true,FRA,Europe,Frankfurt,162,8.26
34.65.28.16,443,443,true,FRA,Europe,Frankfurt,160,8.21
34.154.176.30,443,443,true,FRA,Europe,Frankfurt,177,8.18
34.65.226.188,443,443,true,FRA,Europe,Frankfurt,166,8.18
34.65.204.138,443,443,true,FRA,Europe,Frankfurt,197,8.18
34.65.153.152,443,443,true,FRA,Europe,Frankfurt,159,8.15
34.65.213.174,443,443,true,FRA,Europe,Frankfurt,175,8.11
34.74.105.17,80,8080,false,ATL,North America,Atlanta,218,8.08
34.65.123.250,443,443,true,FRA,Europe,Frankfurt,181,8.07
34.65.255.117,443,443,true,CDG,Europe,Paris,161,8.07
34.159.156.204,443,443,true,CDG,Europe,Paris,166,8.06
34.65.243.164,443,443,true,CDG,Europe,Paris,176,8.05
34.29.146.16,443,443,true,FRA,Europe,Frankfurt,205,8.05
34.154.6.72,443,443,true,FRA,Europe,Frankfurt,192,8.04
34.65.30.161,443,443,true,FRA,Europe,Frankfurt,174,8.03
34.148.187.247,443,443,true,ATL,North America,Atlanta,217,8.02
34.154.172.26,443,443,true,FRA,Europe,Frankfurt,200,7.96
34.154.12.126,443,443,true,LHR,Europe,London,178,7.96
34.65.116.104,443,443,true,FRA,Europe,Frankfurt,180,7.90
34.65.80.27,443,443,true,AMS,Europe,Amsterdam,174,7.89
34.65.112.140,443,443,true,FRA,Europe,Frankfurt,177,7.87
35.185.75.107,443,443,true,ATL,North America,Atlanta,218,7.86
34.65.71.87,443,443,true,FRA,Europe,Frankfurt,186,7.86
34.65.236.13,443,443,true,FRA,Europe,Frankfurt,165,7.86
34.154.85.1,443,443,true,FRA,Europe,Frankfurt,194,7.85
34.65.199.119,443,443,true,FRA,Europe,Frankfurt,159,7.85
34.65.249.150,443,443,true,FRA,Europe,Frankfurt,169,7.84
34.65.137.187,443,443,true,FRA,Europe,Frankfurt,176,7.84
34.65.89.88,443,443,true,FRA,Europe,Frankfurt,166,7.81
34.154.118.68,443,443,true,FRA,Europe,Frankfurt,174,7.81
34.65.100.142,443,443,true,FRA,Europe,Frankfurt,167,7.78
34.154.161.248,443,443,true,AMS,Europe,Amsterdam,195,7.76
34.65.116.104,443,443,true,FRA,Europe,Frankfurt,168,7.74
34.148.187.247,443,443,true,ATL,North America,Atlanta,270,7.72
34.154.141.194,443,443,true,CDG,Europe,Paris,179,7.72
34.65.226.145,443,443,true,FRA,Europe,Frankfurt,168,7.66
34.65.23.198,443,443,true,AMS,Europe,Amsterdam,172,7.66
34.32.255.172,8443,443,true,AMS,Europe,Amsterdam,229,7.63
34.65.179.199,443,443,true,FRA,Europe,Frankfurt,190,7.62
34.74.105.17,80,8080,false,ATL,North America,Atlanta,219,7.62
34.154.165.18,443,443,true,FRA,Europe,Frankfurt,175,7.62
34.154.153.45,443,443,true,FRA,Europe,Frankfurt,177,7.60
34.65.39.49,443,443,true,FRA,Europe,Frankfurt,174,7.60
34.65.20.86,443,443,true,FRA,Europe,Frankfurt,164,7.60
34.65.89.88,443,443,true,FRA,Europe,Frankfurt,186,7.59
34.65.179.199,443,443,true,FRA,Europe,Frankfurt,161,7.56
34.154.209.250,443,443,true,FRA,Europe,Frankfurt,177,7.55
34.154.135.246,443,443,true,FRA,Europe,Frankfurt,165,7.55
34.65.72.220,443,443,true,FRA,Europe,Frankfurt,171,7.54
34.65.30.12,443,443,true,FRA,Europe,Frankfurt,170,7.53
34.65.255.1,443,443,true,FRA,Europe,Frankfurt,173,7.52
34.154.111.31,443,443,true,CDG,Europe,Paris,213,7.51
34.65.39.49,443,443,true,FRA,Europe,Frankfurt,184,7.50
34.154.87.32,443,443,true,FRA,Europe,Frankfurt,175,7.45
34.154.69.105,443,443,true,FRA,Europe,Frankfurt,171,7.44
34.154.208.160,443,443,true,FRA,Europe,Frankfurt,164,7.44
34.65.204.138,443,443,true,FRA,Europe,Frankfurt,160,7.43
34.65.180.14,443,443,true,FRA,Europe,Frankfurt,164,7.42
34.65.82.210,443,443,true,FRA,Europe,Frankfurt,166,7.42
34.65.132.213,443,443,true,FRA,Europe,Frankfurt,169,7.42
34.65.192.195,443,443,true,FRA,Europe,Frankfurt,174,7.41
34.65.233.148,443,443,true,FRA,Europe,Frankfurt,173,7.41
34.65.136.158,443,443,true,FRA,Europe,Frankfurt,161,7.40
34.65.249.150,443,443,true,FRA,Europe,Frankfurt,188,7.39
34.32.255.172,2053,443,true,AMS,Europe,Amsterdam,229,7.39
34.65.157.38,443,443,true,AMS,Europe,Amsterdam,171,7.38
34.154.72.171,443,443,true,FRA,Europe,Frankfurt,188,7.34
34.65.151.191,443,443,true,FRA,Europe,Frankfurt,182,7.34
34.65.204.138,443,443,true,FRA,Europe,Frankfurt,158,7.33
34.65.132.213,443,443,true,FRA,Europe,Frankfurt,168,7.31
34.141.199.73,443,443,true,FRA,Europe,Frankfurt,160,7.28
34.154.205.28,443,443,true,FRA,Europe,Frankfurt,199,7.23
34.65.255.117,443,443,true,CDG,Europe,Paris,159,7.21
34.65.226.145,443,443,true,FRA,Europe,Frankfurt,158,7.19
34.65.152.246,443,443,true,FRA,Europe,Frankfurt,162,7.19
34.65.59.28,443,443,true,FRA,Europe,Frankfurt,166,7.18
34.65.243.237,443,443,true,FRA,Europe,Frankfurt,173,7.14
34.154.149.20,443,443,true,FRA,Europe,Frankfurt,162,7.14
34.154.60.68,443,443,true,FRA,Europe,Frankfurt,173,7.13
34.65.156.25,443,443,true,FRA,Europe,Frankfurt,236,7.12
34.65.252.4,443,443,true,FRA,Europe,Frankfurt,173,7.12
34.65.202.220,443,443,true,FRA,Europe,Frankfurt,179,7.11
34.65.112.140,443,443,true,FRA,Europe,Frankfurt,178,7.10
34.65.25.114,443,443,true,IAD,North America,Ashburn,170,7.07
34.65.202.220,443,443,true,FRA,Europe,Frankfurt,166,7.05
34.65.28.16,443,443,true,FRA,Europe,Frankfurt,168,6.99
34.65.192.195,443,443,true,FRA,Europe,Frankfurt,174,6.98
34.65.140.217,443,443,true,FRA,Europe,Frankfurt,175,6.98
34.154.201.52,443,443,true,FRA,Europe,Frankfurt,187,6.98
34.154.61.8,443,443,true,FRA,Europe,Frankfurt,173,6.98
34.65.51.214,443,443,true,FRA,Europe,Frankfurt,166,6.96
34.65.63.114,443,443,true,FRA,Europe,Frankfurt,183,6.91
34.65.93.149,443,443,true,FRA,Europe,Frankfurt,175,6.90
34.91.71.101,443,443,true,FRA,Europe,Frankfurt,159,6.87
34.65.226.188,443,443,true,FRA,Europe,Frankfurt,171,6.86
34.65.82.210,443,443,true,FRA,Europe,Frankfurt,176,6.86
34.65.180.14,443,443,true,FRA,Europe,Frankfurt,175,6.85
34.65.27.228,443,443,true,FRA,Europe,Frankfurt,190,6.84
34.65.104.142,443,443,true,FRA,Europe,Frankfurt,171,6.84
34.154.159.99,443,443,true,FRA,Europe,Frankfurt,174,6.82
34.65.243.164,443,443,true,IAD,North America,Ashburn,178,6.81
34.118.101.136,443,443,true,CDG,Europe,Paris,186,6.79
34.118.64.163,443,443,true,FRA,Europe,Frankfurt,190,6.77
34.65.23.198,443,443,true,FRA,Europe,Frankfurt,162,6.77
34.154.181.215,443,443,true,EWR,North America,Newark,200,6.75
34.154.191.57,443,443,true,FRA,Europe,Frankfurt,175,6.75
34.154.219.130,443,443,true,FRA,Europe,Frankfurt,199,6.74
34.65.132.213,443,443,true,FRA,Europe,Frankfurt,170,6.73
34.154.183.252,443,443,true,IAD,North America,Ashburn,180,6.72
34.65.164.20,443,443,true,CDG,Europe,Paris,178,6.71
34.65.157.38,443,443,true,FRA,Europe,Frankfurt,192,6.68
34.154.169.19,443,443,true,IAD,North America,Ashburn,190,6.66
34.65.151.191,443,443,true,FRA,Europe,Frankfurt,162,6.66
34.65.152.246,443,443,true,FRA,Europe,Frankfurt,158,6.65
34.65.199.119,443,443,true,FRA,Europe,Frankfurt,162,6.64
34.65.236.13,443,443,true,FRA,Europe,Frankfurt,171,6.64
34.65.137.187,443,443,true,FRA,Europe,Frankfurt,169,6.64
34.154.148.158,443,443,true,AMS,Europe,Amsterdam,169,6.63
34.65.77.80,443,443,true,FRA,Europe,Frankfurt,165,6.63
34.154.63.7,443,443,true,FRA,Europe,Frankfurt,172,6.63
34.65.82.210,443,443,true,FRA,Europe,Frankfurt,195,6.62
34.154.121.18,443,443,true,FRA,Europe,Frankfurt,177,6.61
34.65.104.142,443,443,true,FRA,Europe,Frankfurt,166,6.58
34.65.100.142,443,443,true,FRA,Europe,Frankfurt,182,6.56
34.154.94.37,443,443,true,FRA,Europe,Frankfurt,170,6.55
34.65.104.142,443,443,true,FRA,Europe,Frankfurt,169,6.55
34.65.241.102,443,443,true,AMS,Europe,Amsterdam,174,6.50
34.118.111.0,443,443,true,FRA,Europe,Frankfurt,184,6.50
34.154.206.98,443,443,true,FRA,Europe,Frankfurt,180,6.47
34.65.251.187,443,443,true,FRA,Europe,Frankfurt,167,6.45
34.65.90.219,443,443,true,FRA,Europe,Frankfurt,167,6.45
34.65.209.66,443,443,true,FRA,Europe,Frankfurt,175,6.44
